ATM
Acupuncture Clinic
Adult Education
Adult Store
Advertising Agency
African Restaurant
Agriculture and Forestry Service
Airfield
Airport
Airport Food Court
Airport Gate
Airport Lounge
Airport Service
Airport Terminal
Airport Ticket Counter
Airport Tram Station
Alternative Medicine Clinic
American Restaurant
Amusement Park
Animal Shelter
Antique Store
Apartment or Condo
Aquarium
Arcade
Argentinian Restaurant
Art Gallery
Art Museum
Art Studio
Arts and Crafts Store
Arts and Entertainment
Asian Restaurant
Assisted Living
Athletic Field
Attraction
Auditorium
Australian Restaurant
Austrian Restaurant
Automotive Repair Shop
BBQ Joint
Baby Store
Bagel Shop
Baggage Claim
Baggage Locker
Bakery
Ballroom
Bangladeshi Restaurant
Bank
Banking and Finance
Bar
Barbershop
Baseball Field
Baseball Stadium
Baseball Store
Basketball Court
Basketball Stadium
Basque Restaurant
Bath House
Bathing Area
Batting Cages
Bavarian Restaurant
Bay
Beach
Beach Bar
Bed and Breakfast
Beer Bar
Beer Festival
Beer Garden
Beer Store
Beijing Restaurant
Belarusian Restaurant
Belgian Restaurant
Betting Shop
Bicycle Store
Big Box Store
Bike Rental
Bike Trail
Bistro
Blini House
Blood Bank
Board Store
Boarding House
Boat Launch
Boat Rental
Boat or Ferry
Body Piercing Shop
Bookstore
Border Crossing
Botanical Garden
Boutique
Bowling Alley
Bowling Green
Boxing Gym
Brasserie
Brazilian Restaurant
Breakfast Spot
Brewery
Bridal Store
Bridge
Bubble Tea Shop
Buddhist Temple
Buffet
Burger Joint
Burmese Restaurant
Bus Line
Bus Station
Bus Stop
Business Center
Business Service
Business and Professional Services
Butcher
Cable Car
"Cafe, Coffee, and Tea House"
Cafeteria
Café
Cajun and Creole Restaurant
Cambodian Restaurant
Camera Store
Campaign Office
Campground
Canal
Canal Lock
Candy Store
Cantonese Restaurant
Capitol Building
Car Dealership
Car Parts and Accessories
Car Wash and Detail
Caribbean Restaurant
Casino
Castle
Caucasian Restaurant
Cave
Cemetery
Cha Chaan Teng
Charter Bus
Cheese Store
Child Care Service
Children's Clothing Store
Children's Hospital
Chinese Aristocrat Restaurant
Chinese Breakfast Restaurant
Chinese Restaurant
Chiropractor
Chocolate Store
Church
Churrascaria
Circus
City
City Hall
Climbing Gym
Clothing Store
Club House
Cocktail Bar
Coffee Roaster
Coffee Shop
College Academic Building
College Administrative Building
College Arts Building
College Auditorium
College Baseball Diamond
College Bookstore
College Cafeteria
College Classroom
College Communications Building
College Engineering Building
